Nama Kapal,Eks Nama Kapal,Call Sign,Jenis Kapal,Nama Pemilik,No. Tanda Pendaftaran,Panjang,Lebar,Dalam,LOA,GT,Isi Bersih,Nomor IMO,Tahun Pembuatan
KCT - 1904,,YB5447,Crew Boat,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2015 Ka No. 7469/L,19.05,4.5,1.7,19.7,47,15,,2014.0
KCT - 1903,,YB5445,Crew Boat,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2015 Ka No. 7468/L,19.05,4.5,1.7,19.7,47,15,,2014.0
KCT 1901,,YB 5431,Crew Boat,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2015 Ka No. 7239/L,17.6,4.5,2.2,18.95,47,15,,2014.0
KCT - 2202,,YB5446,Crew Boat,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2015 Ka No. 7472/L,19.5,5.0,1.7,21.9,61,19,,2014.0
KCT 1906,,YB5449,Crew Boat,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2015 Ka NO. 7471/L,19.05,4.5,2.2,19.75,49,15,,2014.0
KCT.RURIK 01,,YDA6704,Tug Boat,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2011 IIk No. 5585/L,19.22,5.4,2.3,23.6,61,19,,2010.0
KCT 4001,,YBA4050,Crew Boat,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2017 Ka No. 7760/L,35.92,7.6,2.7,40.0,248,93,9763667,2014.0
KCT 2201,,YB 5433,Crew Boat,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2015 Ka No. 7241/L,19.5,5.0,1.7,21.5,60,18,,2014.0
KCT 1902,,YB 5432,Crew Boat,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2015 Ka No. 7240/L,18.55,4.5,1.7,19.45,48,15,,2014.0
RUHEN 14,,YB 6753,Crew Boat,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2014 IIk No. 7279/L,10.95,2.9,1.45,11.11,14,5,,2013.0
KCT 1101,,YB6783,Crew Boat,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2017 IIk No. 8124/L,12.0,3.0,1.5,13.15,17,6,,2015.0
KCT 1307,,YB6782,Crew Boat,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2017 IIk No. 8125/L,11.64,3.95,1.6,13.01,22,7,,2016.0
KCT 1304,,YB6784,Crew Boat,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2017 IIk No. 8126/L,11.64,3.95,1.6,13.01,22,7,,2016.0
KCT 1305,,YB6785,Crew Boat,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2017 IIk No. 8129/L,11.64,3.95,1.6,13.01,22,7,,2016.0
KCT 1102,,YB6786,Crew Boat,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2017 IIk No. 8127/L,10.84,3.0,1.45,12.21,14,5,,2015.0
KCT 1308,,YB6787,Crew Boat,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2017 IIk No. 8128/L,11.64,3.95,1.6,13.01,22,7,,2017.0
KCT 1306,,YB6788,Crew Boat,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2017 IIk No. 8130/L,11.64,3.95,1.6,13.01,22,7,,2016.0
BERKAT RENCANA B,,,General Cargo,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2015 IIk No. 7610/L,13.88,5.4,1.7,10.97,34,4,,2014.0
ARMADA III,,,Landing Craft Tank,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2007 IIk No. 3936/L,52.55,11.0,3.6,57.6,564,286,,2006.0
EKA SAYANG,,,Landing Craft Tank,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2004 IIk No. 3316/L,40.5,9.0,3.0,45.1,330,99,,2003.0
RUHEN 17,,,Crew Boat,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2014 IIk No. 7335/L,10.95,2.9,1.45,11.0,12,4,,2013.0
RUHEN 18,,,Crew Boat,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2014 IIk No. 7336/L,10.95,2.9,1.45,11.0,12,4,,2013.0
RUHEN 19,,,Crew Boat,PT PELAYARAN NASIONAL EKALYA PURNAMASARI,2014 IIk No. 7337/L,10.95,2.9,1.45,11.0,12,4,,2014.0
PB TCP 3305,,,Barge,PT TRANSCOAL PACIFIC,2022 PPm No. 6791/L,96.56,27.43,6.71,100.58,4440,1332,,2022.0
PB TCP 3303,,,Barge,PT TRANSCOAL PACIFIC,2022 PPm No. 6653/L,96.56,27.43,6.71,100.58,4440,1332,,2022.0
PT TCP 205,,YDC4475,Pusher Tug,PT TRANSCOAL PACIFIC,2022 Pst No. 1357/L,24.42,9.2,3.8,25.5,285,86,9901635,2021.0
PT TCP 203,,YDC4427,Pusher Tug,PT TRANSCOAL PACIFIC,2022 Pst No. 1215/L,23.58,9.2,3.8,25.5,285,84,9901623,2021.0
PB TCP 3301,,,Barge,PT TRANSCOAL PACIFIC,2021 Pst No. 892/L,96.43,27.43,6.71,100.58,4366,1310,,2019.0
PT TCP 202,,YDC4354,Pusher Tug,PT TRANSCOAL PACIFIC,2021 Pst No. 942/L,24.42,9.2,3.8,25.5,285,86,9901611,2020.0
PB TCP 3302,,,Barge,PT TRANSCOAL PACIFIC,2021 Pst No. 912/L,96.43,27.43,6.71,100.58,4366,1310,,2019.0
PT TCP 201,,YDC 4325,Pusher Tug,PT TRANSCOAL PACIFIC,2021 Pst No. 815/L,24.42,9.2,3.8,25.5,285,86,9901609,2019.0
TCP 1601,,YDA6958,Tug Boat,PT TRANSCOAL PACIFIC,2012 IIk No. 6137/L,24.94,7.0,3.3,27.07,175,53,,2011.0
ANUGERAH I,,YDA6507,Tug Boat,PT TRANSCOAL PACIFIC,2009 IIk No. 5003/L,26.76,8.0,3.8,29.02,211,64,,2009.0
HM 307,,,Barge,PT TRANSCOAL PACIFIC,2009 Ba No.1660/L,87.84,24.4,5.5,91.5,3146,944,,2007.0
ATLANTIC,,,Tug Boat,PT TRANSCOAL PACIFIC,2006 Ba No. 701/L,26.18,8.0,3.0,28.0,174,53,,2005.0
LANCAR I,,,Barge,PT TRANSCOAL PACIFIC,2009 Ba No. 1527/L,87.78,24.38,5.49,91.44,3107,933,,2009.0
HM 303,,,Barge,PT TRANSCOAL PACIFIC,2009 Ba No.1670/L,87.78,24.38,5.49,91.44,2936,881,,2006.0
MHKL 35,,,Barge,PT TRANSCOAL PACIFIC,2009 Ba No.1641/L,87.78,24.38,5.49,91.44,2936,881,,2006.0
TCP 3301,,,Barge,PT TRANSCOAL PACIFIC,2019 PPm No. 5410/L,96.56,27.43,6.1,100.58,4332,1300,,2019.0
KEITARO III,,YDB6051,Tug Boat,PT TRANSCOAL PACIFIC,2012 IIk No. 6372/L,26.1,8.2,3.85,28.47,259,78,8683121,2012.0
LOTUS 22-07,,YDA6773,Tug Boat,PT TRANSCOAL PACIFIC,2011 IIk No. 5694/L,28.01,9.0,3.8,29.51,245,74,,2011.0
TCP 207,,YDB6199,Tug Boat,PT TRANSCOAL PACIFIC,2013 IIk No. 6678/L,26.1,8.2,3.85,28.47,254,77,8689735,2013.0
KANAYA,,,Barge,PT TRANSCOAL PACIFIC,2012 Ba No. 2822/L,87.84,24.4,5.5,91.5,3091,928,,2011.0
TCP 4502,,,Barge,PT TRANSCOAL PACIFIC,2013 PPm No. 3020/L,73.2,22.56,6.1,76.25,2682,1527,,2012.0
TCP 4501,,,Barge,PT TRANSCOAL PACIFIC,2013 PPm No. 2801/L,73.2,22.56,6.1,76.25,2727,1548,,2011.0
TCP 30-05,,,Barge,PT TRANSCOAL PACIFIC,2012 Ba No.3011/L,87.78,24.4,5.5,91.44,3071,921,,2012.0
TCP 202,,YDB4218,Tug Boat,PT TRANSCOAL PACIFIC,2012 Ba No. 3103/L,24.97,8.2,4.0,27.0,207,63,,2012.0
TCP 30-01,,,Barge,PT TRANSCOAL PACIFIC,2012 Ba No.3012/L,87.84,24.4,5.5,91.5,3071,922,,2012.0
TCP 30-03,,,Barge,PT TRANSCOAL PACIFIC,2012 Ba No.3010/L,87.78,24.4,5.5,91.44,3071,921,,2012.0
TCP 30-02,,,Barge,PT TRANSCOAL PACIFIC,2012 Ba No.3013/L,87.84,24.4,5.5,91.5,3071,922,,2012.0
BANGUN 3,,YDB6066,Tug Boat,PT TRANSCOAL PACIFIC,2012 IIk No. 6369/L,26.86,8.2,3.75,28.22,215,65,8679704,2012.0
TCP 203,,YDB6224,Tug Boat,PT TRANSCOAL PACIFIC,2013 IIk No. 6560/L,27.52,8.5,3.8,28.74,230,69,8689278,2012.0
TCP 206,,YDB6198,Tug Boat,PT TRANSCOAL PACIFIC,2013 IIk No. 6677/L,26.1,8.2,3.85,28.47,254,77,8691037,2013.0
TCP 205,,YDB6220,Tug Boat,PT TRANSCOAL PACIFIC,2013 IIk No. 6607/L,27.01,8.5,3.76,29.09,234,71,9699543,2012.0
MISHA,,-,Barge,PT TRANSCOAL PACIFIC,2012 Ba No. 2986/L,91.3,27.45,6.1,95.1,4038,1212,-,2012.0
TCP PIONEER,BULK PIONEER,YCKN2,Crane Barge,PT TRANSCOAL PACIFIC,2010 Pst No. 6105/L,87.84,24.4,5.5,91.5,5363,1609,,2005.0
ALIYAH PERTIWI,SHUN YI,YCOX2,Bulk Carrier,PT TRANSCOAL PACIFIC,2019 Pst No. 148/L,206.4,32.26,19.1,225.0,38678,25737,9239991,2000.0
SEA TRANS 02,KM 8,YDB6740,Crew Boat,PT TRANSCOAL PACIFIC,2019 Ba No. 5525/L,12.4,4.1,2.0,13.0,21,7,-,2012.0
TCP 209,,YDC4053,Tug Boat,PT TRANSCOAL PACIFIC,2018 Ba No. 5472/L,27.02,8.6,4.2,29.0,261,79,9740043,2017.0
SEA TRANS 01,SPEB II,YDB4971,Crew Boat,PT TRANSCOAL PACIFIC,2018 IIk No. 8388/L,12.82,3.8,2.1,13.01,22,7,,2012.0
TCP 208,,YDB4986,Tug Boat,PT TRANSCOAL PACIFIC,2018 Ba No. 5275/L,27.02,8.6,4.2,29.0,261,79,9740031,2017.0
VARUNA 01,,YDA6285,Tug Boat,PT TRANSCOAL PACIFIC,2009 IIk No. 4753/L,26.02,8.0,3.75,27.97,213,64,8738603,2003.0
DHARMA I,,YDA6427,Tug Boat,PT TRANSCOAL PACIFIC,2009 IIk No. 4861/L,26.54,8.0,3.8,27.49,213,64,8656075,2008.0
SANTOSO - 5,,,Tug Boat,PT TRANS POWER MARINE,2005 IIk No. 3474/L,28.61,8.3,3.65,32.4,288,87,9028407,2004.0
TRANS POWER 204,,,Tug Boat,PT TRANS POWER MARINE,2008 Pst No. 5039/L,27.31,8.6,4.1,27.31,261,79,9556387,2006.0
GOLD TRANS 313,,,Deck Barge,PT TRANS POWER MARINE,2008 Pst No. 4989/L,87.78,24.38,5.49,87.78,3142,943,,2007.0
GOLD TRANS 305,RMN 313,,Barge,PT TRANS POWER MARINE,2006 IIk No. 3882/L,87.84,24.4,5.5,91.5,3136,941,,2002.0
TRANS POWER 210,,YDA4712,Tug Boat,PT TRANS POWER MARINE,2010 Pst No. 6548/L,26.78,8.6,4.2,29.0,260,78,9554860,2010.0
TRANS POWER 163,,YDA4710,Tug Boat,PT TRANS POWER MARINE,2010 Pst No. 6506/L,24.29,8.0,3.65,26.0,203,61,9603661,2008.0
GOLD TRANS 317,PB 3005,,Deck Barge,PT TRANS POWER MARINE,2010 Pst No. 6499/L,87.84,24.4,5.5,87.84,3146,944,,2010.0
GOLD TRANS 316,PB 3008,,Deck Barge,PT TRANS POWER MARINE,2010 Pst No. 6446/L,87.84,24.4,5.5,91.5,3245,974,,2010.0
TRANS POWER 209,,YDA4690,Tug Boat,PT TRANS POWER MARINE,2010 Pst No. 6445/L,27.02,8.6,4.2,29.0,265,80,9592381,2009.0
SANTOSO 6,,,Barge,PT TRANS POWER MARINE,2003 Ba No. 79/L,87.78,24.38,5.49,91.44,3100,930,,2002.0
TRANS POWER 218,,YD 5210,Tug Boat,PT TRANS POWER MARINE,2013 Ka No. 6497/L,27.6,8.2,3.75,29.0,220,66,8694510,2012.0
TRANS POWER 217,,YD5209,Tug Boat,PT TRANS POWER MARINE,2013 Ka No. 6496/L,27.6,8.2,3.75,29.0,220,66,8694508,2012.0
GOLD TRANS 3005,,,Deck Barge,PT TRANS POWER MARINE,2012 Pst No. 7577/L,87.84,24.4,5.5,91.5,3157,948,,2011.0
GOLD TRANS 3002,,,Deck Barge,PT TRANS POWER MARINE,2012 Pst No. 7575/L,87.78,24.38,5.48,91.44,3080,924,,2012.0
GOLD TRANS 3001,,,Deck Barge,PT TRANS POWER MARINE,2012 Pst No. 7574/L,87.78,24.38,5.48,91.44,3080,924,,2012.0
GOLD TRANS 3003,,,Deck Barge,PT TRANS POWER MARINE,2012 Pst No. 7576/L,87.84,24.4,5.5,91.5,3157,948,,2011.0
GOLD TRANS 309,,,Barge,PT TRANS POWER MARINE,2007 Pst No. 4671/L,87.78,24.38,5.49,91.44,3142,943,,2007.0
TRANS POWER 220,,YDC4156,Tug Boat,PT TRANS POWER MARINE,2019 Pst No. 327/L,27.14,8.6,4.25,29.0,263,79,,2013.0
GOLD TRANS 3011,,,Deck Barge,PT TRANS POWER MARINE,2019 Pst No. 326/L,87.84,24.4,5.5,91.5,3116,935,,2014.0
GOLD TRAN 304,GOLD TRANS 301,,Barge,PT TRANS POWER MARINE,2012 Pst No. 7270/L,87.84,24.4,5.5,91.5,3074,923,,2005.0
TRANS POWER 216,,YDB 6260,Tug Boat,PT TRANS POWER MARINE,2013 IIk No. 6777/L,27.04,8.1,4.0,28.49,241,73,8695992,2012.0
GOLD TRANS 3010,MARABUNTA 11,,Deck Barge,PT TRANS POWER MARINE,2012 Ka No. 5247/L,87.78,24.38,5.49,91.44,3139,942,,2012.0
TRANS POWER 248,RADAR 11,YD 5175,Tug Boat,PT TRANS POWER MARINE,2012 Ka No. 5246/L,27.36,9.0,4.4,29.2,295,89,,2010.0
DELTA CAHAYA 7,,YD6931,Tug Boat,PT TRANS POWER MARINE,2006 IIk No. 3933/L,26.21,8.1,3.4,28.52,204,62,9097771,2006.0
TRANS POWER 181,ASMAR 2,YDA 6720,Tug Boat,PT TRANS POWER MARINE,2005 IIk No. 3549/L,24.82,7.5,3.3,27.0,174,53,9093543,2005.0
GOLD TRANS 322,,,Barge,PT TRANS POWER MARINE,2011 Ba No. 2242/L,87.84,24.4,5.5,87.84,3140,942,,2010.0
KR 2,,YDB6068,Tug Boat,PT TRANS POWER MARINE,2013 IIk No. 6415/L,26.72,8.5,3.75,28.22,240,72,8681238,2012.0
KR ASSIST,,YDB6258,Tug Boat,PT TRANS POWER MARINE,2013 IIk No. 6778/L,21.55,6.5,3.3,21.85,128,39,8695370,2012.0
SOVEREIGN 8,,PLLI,Crane Barge,PT TRANS POWER MARINE,2015 Pst No. 8799/L,67.2,22.0,5.0,70.0,2646,794,,2012.0
TRANS POWER 202,MODALWAN 2090,,Tug Boat,PT TRANS POWER MARINE,2013 Pst No. 7798/L,27.37,9.0,4.4,29.2,275,83,9350410,2004.0
TRANS POWER 206,,YDA4303,Tug Boat,PT TRANS POWER MARINE,2007 Pst No. 4670/L,26.04,8.6,4.3,26.04,254,77,9465928,2007.0
TRANS POWER 211,,YDA 6099,Tug Boat,PT TRANS POWER MARINE,2008 IIk No. 4400/L,26.21,8.1,3.4,28.5,200,60,,2007.0
TRANS POWER 162,TEKUN 16219,YDA4466,Tug Boat,PT TRANS POWER MARINE,2009 Pst No. 5572/L,24.29,7.32,3.35,26.1,163,49,,2007.0
TRANS POWER 213,,YDA4989,Tug Boat,PT TRANS POWER MARINE,2011 Pst No. 7076/L,27.15,8.6,4.2,29.0,263,79,,2011.0
TRANS POWER 161,TEKUN 16218,YD4440,Tug Boat,PT TRANS POWER MARINE,2008 Pst No. 5472/L,24.29,7.32,3.35,26.1,163,49,9503885,2007.0
TRANS POWER 203,NITYA I,YD 6494,Tug Boat,PT TRANS POWER MARINE,2002 IId No. 389/L,26.48,8.28,3.98,28.3,207,63,8999312,2002.0
TRANS POWER 245,,YD5215,Tug Boat,PT TRANS POWER MARINE,2013 Ka No. 6343/L,28.23,8.2,4.0,29.98,252,76,,2012.0
TRANS POWER 165,,YDA4723,Tug Boat,PT TRANS POWER MARINE,2010 Pst No. 6556/L,24.23,8.0,3.65,26.0,209,63,9606223,2010.0
TRANS POWER 241,MODALWAN 24136,YD6919,Tug Boat,PT TRANS POWER MARINE,2013 IIa No.3421/L,27.53,9.0,4.85,29.2,270,81,9399519,2005.0
KR 5,,,Tug Boat,PT TRANS POWER MARINE,2013 IIk No. 6533/L,26.83,8.5,3.75,28.23,240,72,8684307,2012.0
KR 3,,,Tug Boat,PT TRANS POWER MARINE,2013 IIk No. 6416/L,26.83,8.5,3.75,28.23,240,72,8683107,2012.0
KR 6,,,Tug Boat,PT TRANS POWER MARINE,2013 IIk No. 6534/L,26.83,8.5,3.75,28.23,240,72,8684319,2012.0
GOLD TRANS 321,,,Deck Barge,PT TRANS POWER MARINE,2011 Pst No. 6724/L,87.78,24.4,5.5,91.5,3138,942,,2010.0
KTH GREEN GLOBAL,GREEN GLOBAL,JZJO,Deck Barge,PT TRANS POWER MARINE,2013 PPm No. 2961/L,62.91,24.38,4.88,65.53,2563,769,,2012.0
GOLD TRANS 320,PB 3009,,Barge,PT TRANS POWER MARINE,2011 Ba No. 2148/L,87.78,24.4,5.5,87.78,3146,943,,2010.0
GOLD TRANS 3306,,,Deck Barge,PT TRANS POWER MARINE,2016 Pst No. 9121/L,96.62,27.45,6.41,100.65,4259,1277,,2010.0
GOLD TRANS 3303,,,Deck Barge,PT TRANS POWER MARINE,2014 Pst No. 8341/L,96.62,27.45,6.41,100.65,4270,1281,,2013.0
GOLD TRANS 3301,,,Barge,PT TRANS POWER MARINE,2014 Pst No. 8340/L,96.62,27.45,6.41,100.65,4270,1281,,2013.0
GOLD TRANS 3302,,,Deck Barge,PT TRANS POWER MARINE,2014 Pst No. 8339/L,96.62,27.45,6.41,100.65,4270,1281,,2013.0
GOLD TRANS 3305,,,Deck Barge,PT TRANS POWER MARINE,2014 Pst No. 8338/L,96.62,27.45,6.41,100.65,4270,1281,,2013.0
GOLD TRANS 3009,,,Deck Barge,PT TRANS POWER MARINE,2013 Pst No. 8002/L,87.84,24.4,5.5,91.5,3111,934,,2012.0
GOLD TRANS 3008,,,Deck Barge,PT TRANS POWER MARINE,2013 Pst No. 8001/L,87.84,24.4,5.5,91.5,3111,934,,2012.0
GOLD TRANS 3007,,,Deck Barge,PT TRANS POWER MARINE,2013 Pst No. 8000/L,87.84,24.4,5.5,91.5,3111,934,,2012.0
GOLD TRANS 3006,,,Deck Barge,PT TRANS POWER MARINE,2013 Pst No. 7999/L,87.84,24.4,5.5,91.5,3111,934,,2012.0
JOSHUA,,,Deck Barge,PT TRANS POWER MARINE,2013 Pst No. 7998/L,57.5,22.6,5.0,60.0,2479,744,,2012.0
GOLD TRANS 307,BAIDURI 30380,,Deck Barge,PT TRANS POWER MARINE,2008 Pst No. 5471/L,87.84,24.4,5.5,87.84,3140,942,,2008.0
GOLD TRANS 312,BAIDURI 30321,,Deck Barge,PT TRANS POWER MARINE,2008 Pst No. 5261/L,87.84,24.4,5.5,87.84,3233,970,,2007.0
GOLD TRANS 311,BAIDURI 30296,,Deck Barge,PT TRANS POWER MARINE,2007 Pst No. 4948/L,87.84,24.4,5.5,87.84,3141,943,,2007.0
GOLD TRANS 310,BAIDURI 30295,,Deck Barge,PT TRANS POWER MARINE,2007 Pst No. 4947/L,87.84,24.4,5.5,87.84,3141,943,,2007.0
TRANS POWER 207,,,Tug Boat,PT TRANS POWER MARINE,2007 Pst No. 4712/L,26.04,8.6,4.3,28.05,249,75,9471575,2007.0
GOLD TRANS 308,,,Deck Barge,PT TRANS POWER MARINE,2007 Pst No. 4648/L,87.78,24.38,5.49,87.78,3142,943,,2007.0
TRANS POWER 205,,,Tug Boat,PT TRANS POWER MARINE,2007 Pst No. 4647/L,26.04,8.6,4.3,26.04,254,77,9465916,2007.0
TRANS POWER 242,MODALWAN 24137,YDA 4239,Tug Boat,PT TRANS POWER MARINE,2007 Pst No. 4454/L,27.5,9.0,4.95,27.5,274,83,9419694,2006.0
TRANS POWER 166,,YDA 4724,Tug Boat,PT TRANS POWER MARINE,2010 Pst No. 6557/L,24.29,8.0,3.65,26.0,203,61,9604718,2010.0
GOLD TRANS 331,MANNA LINE 812,,Deck Barge,PT TRANS POWER MARINE,2010 Pst No. 6447/L,96.56,27.48,6.1,100.58,4186,1256,,2009.0
TRANS POWER 219,,YD5220,Tug Boat,PT TRANS POWER MARINE,2014 Ka No. 6578/L,25.22,7.5,3.66,27.29,191,58,8575960,2013.0
TRANS POWER 212,,YDA4988,Tug Boat,PT TRANS POWER MARINE,2011 Pst No. 7075/L,27.15,8.6,4.2,29.0,263,79,,2011.0
GOLD TRANS 326,,,Deck Barge,PT TRANS POWER MARINE,2011 Pst No. 7074/L,87.84,24.4,5.5,87.84,3074,923,,2011.0
GOLD TRANS 327,,,Deck Barge,PT TRANS POWER MARINE,2011 Pst No. 7073/L,87.84,24.4,5.5,87.84,3074,923,,2011.0
TRANS POWER 243,,YDA 4991,Tug Boat,PT TRANS POWER MARINE,2011 Pst No. 7072/L,26.88,9.0,4.25,26.88,247,83,,2009.0
GOLD TRANS 325,,,Deck Barge,PT TRANS POWER MARINE,2011 Pst No. 6976/L,87.78,24.4,5.5,87.78,3233,970,,2011.0
GOLD TRANS 323,,,Deck Barge,PT TRANS POWER MARINE,2011 Pst No. 6975/L,87.78,24.4,5.5,87.78,3233,970,,2011.0
TRANS POWER 246,,YD 5216,Tug Boat,PT TRANS POWER MARINE,2013 IIk No. 6344/L,28.23,8.2,4.0,29.98,252,76,,2012.0
GOLD TRANS 318,PB 3007,,Barge,PT TRANS POWER MARINE,2010 Ba No. 2084/L,87.84,24.4,5.5,87.84,3143,943,,2010.0
GOLD TRANS 319,Pb 3011,,Barge,PT TRANS POWER MARINE,2010 Ba No. 2085/L,87.84,24.4,5.5,87.84,3143,943,,2010.0
TRANS POWER 247,,,Tug Boat,PT TRANS POWER MARINE,2014 Ka No. 6579/L,27.74,8.5,4.5,29.37,283,85,8575984,2013.0
TRANS POWER 246,,,Tug Boat,PT TRANS POWER MARINE,2013 Ka No. 6344/L,28.23,8.2,4.0,29.98,252,76,8699077,2012.0
TRANS POWER 215,,YDB6259,Tug Boat,PT TRANS POWER MARINE,2013 IIk No. 6776/L,27.04,8.1,4.0,28.49,243,73,8695291,2012.0
TRANS POWER - 121,SHAFIRA 08,,Tug Boat,PT TRANS POWER MARINE,2013 IIk No. 6751/L,24.75,7.5,3.1,25.0,159,48,8694015,2012.0
TRANS POWER 208,,YDA 4310,Tug Boat,PT TRANS POWER MARINE,2007 Pst No. 4713/L,26.04,8.6,4.3,28.05,249,75,9471587,2007.0
NELLY ANUGRAH 2,,,Barge,PT PELAYARAN NELLY DWI PUTRI,2023 Pst No. 1432/L,96.56,27.43,6.4,100.58,4467,1341,,2022.0
NELLY 93,,YDC4503,Tug Boat,PT PELAYARAN NELLY DWI PUTRI,2022 Pst No. 1320/L,24.6,7.5,3.75,26.0,179,54,,2022.0
NELLY 100,,,Barge,PT PELAYARAN NELLY DWI PUTRI,2022 Pst No. 1309/L,87.78,25.6,5.49,91.44,3269,981,,2022.0
NELLY 91,,YDC4461,Tug Boat,PT PELAYARAN NELLY DWI PUTRI,2022 Pst No. 1283/L,24.6,7.5,3.75,26.0,179,54,,2022.0
NELLY 98,,,Barge,PT PELAYARAN NELLY DWI PUTRI,2022 Pst No. 1284/L,87.78,25.6,5.49,91.44,3269,981,,2022.0
NELLY 96,,,Barge,PT PELAYARAN NELLY DWI PUTRI,2022 Pst No. 1204/L,87.78,25.6,5.49,91.44,3269,981,,2022.0
NELLY 76,,,Deck Barge,PT PELAYARAN NELLY DWI PUTRI,2012 PPm No. 2536/L,87.78,24.38,5.49,91.44,3145,944,,2012.0
NELLY 92,,,Barge,PT PELAYARAN NELLY DWI PUTRI,2021 Pst No. 1093/L,87.78,24.38,5.49,91.44,3121,937,,2021.0
